Setor,num_Habitantes,AguaADEQUADA,EsgotoADEQUADO,Medidor_Eletric,LixoADEQUADO,Analfa10a14anos,Analfa15ouMais,RespRenda_Ate1Sal,RendaPerCapita,DomRendaMedia,Classe_Econ
60026,266.9350122,100.0,100.0,100.0,100.0,2.3255814,3.26704545,20.84805654,742.74941176,2230.87279152,D
60027,242.48472829,100.0,100.0,98.79518072,100.0,0.0,3.16139767,30.52208835,666.72703063,2010.89156627,D
60028,149.98914851,100.0,100.0,98.37837838,100.0,0.0,1.19617225,25.405405399999996,571.29032258,1627.40540541,D
60029,381.85807830000005,100.0,100.0,99.69325153,98.46625767,4.16666667,0.88202867,25.15337423,585.44917715,1855.1196319000003,D
60030,296.15471365,100.0,100.0,99.68944099,100.0,1.36986301,3.55263158,21.73913043,642.93507853,1906.84161491,D
60031,213.06995574,100.0,100.0,100.0,100.0,0.0,2.02702703,27.77777778,349.8255814,835.69444444,E
60032,188.69512435,100.0,99.62686567,99.25373134,100.0,1.2195122,4.87394958,44.02985075,385.86734694,1128.80597015,E
60033,245.01884503,97.78597786,98.52398524,72.32472325,98.89298893,1.1627907,6.06896552,49.07749078,377.78247423,1352.2103321,D
60034,823.10578904,99.28571429,100.0,95.0,100.0,5.97014925,2.31124807,37.5,452.22991347,1306.62142857,D
60035,544.13235223,100.0,99.61089494,100.0,100.0,0.0,0.92250923,38.52140078,510.02936858,1351.47859922,D
60036,82.4883296,100.0,99.00497512,92.03980099,100.0,15.38461539,2.56916996,24.37810945,731.21880065,2244.58706468,D
60037,35.76867488,97.65625,99.21875,93.75,100.0,10.0,4.15430267,28.90625,554.06038647,1792.0390625,D
60038,30.37461416,81.63265306,85.71428571,77.55102041,100.0,0.0,4.6728972,32.65306122,274.98518519,757.6122449,E
60039,179.43878744,100.0,100.0,98.33333333,100.0,2.38095238,0.58139535,55.0,294.57692308,1276.5,D
60040,381.52020462,100.0,100.0,36.75213675,100.0,0.0,9.338521400000001,30.76923077,188.21428571,630.5982906,E
60041,424.62438979,100.0,100.0,63.822525600000006,100.0,7.33944954,4.34173669,34.81228669,298.38238342,982.72696246,E
60042,816.68131457,99.53051643,100.0,64.31924883,96.24413146,1.44927536,5.76131687,44.1314554,341.9251497,1072.3286385,E
60043,546.16499871,100.0,98.08429119,54.78927203,94.63601533,1.83486239,17.93785311,35.24904215,304.06565657,1153.35249042,E
60044,358.6212963,100.0,100.0,52.63157895,100.0,7.8125,5.40069686,42.48120301,326.92519685,936.53007519,E
60045,62.794659200000005,100.0,100.0,98.13432836,100.0,2.56410256,1.26582278,5.223880599999999,1059.3809524,2490.3358209000003,D
60046,185.09070609,100.0,100.0,83.83233533,100.0,0.82644628,0.81716037,25.74850299,491.74044266,1463.44311377,D
60047,179.89373787,100.0,99.57983193,95.37815126,100.0,0.0,2.07156309,34.87394958,653.02547771,1723.1092437,D
60048,320.23398899,100.0,100.0,94.19354839,100.0,0.0,6.03448276,33.54838710000001,418.07142857,1170.6,E
60049,239.24279311,98.34254144,98.89502762,86.74033149,100.0,0.0,3.73134328,42.54143646,489.57434944,1455.19889503,D
60050,333.12040364,100.0,98.48484849,85.60606061,100.0,7.14285714,6.03448276,21.21212121,552.44444444,1883.33333333,D
60051,367.85269980000004,100.0,99.71181556,93.08357349,100.0,3.37078652,5.34441805,24.49567723,600.2229539,1838.72334294,D
60052,176.8065452,99.0521327,99.52606635,81.99052133,89.09952607,1.92307692,5.57432432,27.01421801,347.70816044,1191.43601896,E
